Country,Region,Genre,IMDBrating,Title,Released,Type
USA,North America,"['Comedy', 'Drama', 'Fantasy']",,"Nice & Naughty, A Christmas Story",2021,movie
USA,North America,['Drama'],,"GodHead: In a fiction, in a dream of passion",2021,movie
USA,North America,"['Action', 'Drama']",,Frankie's Redemption,2021,movie
USA,North America,['Drama'],,Twice As Strong: Made of Fire,2021,movie
USA,North America,"['Drama', 'Romance']",,Divine Decision: Double Down,2021,movie
USA,North America,['Drama'],,Wet Dog,2021,movie
USA,North America,['Drama'],,Takkar,2021,movie
USA,North America,"['Drama', 'Romance', 'Thriller']",,Deceitful Tendencies,2021,movie
USA,North America,['Drama'],,8 Days with Hopper,2021,movie
USA,North America,['Action'],,Shadows,2021,movie
USA,North America,['Documentary'],5.2,A Glitch in the Matrix,2021,movie
USA,North America,"['Action', 'Adventure', 'Crime']",6.2,Below Zero,2021,movie
USA,North America,"['Adventure', 'Comedy', 'Fantasy']",7,Kaamelott: First Installment,2021,movie
USA,North America,['Drama'],,Ordinary People,2021,movie
USA,North America,['Action'],,The Key,2021,movie
USA,North America,['Documentary'],,Michael Lally: I Want to Call It Poems,2021,movie
USA,North America,"['Comedy', 'Drama']",,Small Engine Repair,2021,movie
USA,North America,"['Sci-Fi', 'Thriller']",,Implanted,2021,movie
USA,North America,"['Drama', 'Thriller']",,The Uncanny,2021,movie
USA,North America,['Documentary'],,Science Friction,2021,movie
USA,North America,"['Action', 'Adventure', 'Drama']",,Spider-Man 4: Fan Film,2021,movie
USA,North America,['Romance'],,Romantic,2021,movie
USA,North America,['\\N'],,SUPER Like,2021,movie
USA,North America,"['Action', 'Adventure', 'Thriller']",6.4,The Vault,2021,movie
USA,North America,"['Drama', 'History', 'War']",,Kampen om Narvik - Hitlers første nederlag,2021,movie
USA,North America,"['Documentary', 'Music']",,The Beatles: Get Back,2021,tvMiniSeries
USA,North America,"['Drama', 'Thriller']",6.1,Crisis,2021,movie
USA,North America,"['Drama', 'Horror', 'Mystery']",6.7,Fear Street: Part Two - 1978,2021,movie
USA,North America,['Documentary'],8.3,Bisping,2021,movie
USA,North America,['Thriller'],4.3,Paradise Cove,2021,movie
USA,North America,['Thriller'],,Permitted,2021,movie
USA,North America,['Comedy'],5.5,Off the Rails,2021,movie
USA,North America,['Comedy'],6.6,Bad Trip,2021,movie
USA,North America,"['Action', 'Sci-Fi']",1.1,Extraction Point,2021,movie
USA,North America,"['Adventure', 'Sci-Fi', 'Thriller']",5.4,Voyagers,2021,movie
USA,North America,"['Comedy', 'Drama']",,Tastings,2021,movie
USA,North America,['Action'],,Weekend Warriors,2021,movie
USA,North America,"['Drama', 'Horror', 'Mystery']",,Last Night in Soho,2021,movie
USA,North America,"['Action', 'Drama', 'History']",,Prithviraj,2021,movie
USA,North America,"['Action', 'Drama', 'Romance']",6.8,Uppena,2021,movie
USA,North America,['Drama'],,36 Gunn,2021,movie
USA,North America,['Comedy'],7.1,Breakup Masters,2021,movie
USA,North America,"['Action', 'Adventure', 'Mystery']",,Shark Island,2021,movie
USA,North America,"['Biography', 'Crime', 'Drama']",6.2,The Big Bull,2021,movie
USA,North America,"['Comedy', 'Romance']",,Switched at Love,2021,movie
USA,North America,"['Drama', 'Family', 'Sport']",,Home Plate,2021,movie
USA,North America,['Documentary'],,My Ascension,2021,movie
USA,North America,['Documentary'],8.2,Under the Volcano,2021,movie
USA,North America,"['Comedy', 'Crime', 'Drama']",4.5,Naked Singularity,2021,movie
USA,North America,"['Crime', 'Fantasy', 'Mystery']",,Knucks,2021,movie
Germany,Europe,"['Drama', 'History', 'War']",6.7,The Auschwitz Report,2021,movie
Germany,Europe,['Drama'],6,Human Factors,2021,movie
Germany,Europe,['Documentary'],7.7,Die Unbeugsamen,2021,movie
Germany,Europe,['Drama'],5.7,Windstill,2021,movie
Germany,Europe,"['Biography', 'Drama']",7.2,The Last Execution,2021,movie
Germany,Europe,"['Comedy', 'Fantasy', 'Romance']",5.7,Der Boandlkramer und die ewige Liebe,2021,movie
Germany,Europe,"['Comedy', 'Family', 'Fantasy']",5.6,Catweazle,2021,movie
Germany,Europe,"['Comedy', 'Crime']",7.3,Kaiserschmarrndrama,2021,movie
Germany,Europe,['Comedy'],8.8,Stand Up,2021,movie
Germany,Europe,['Drama'],6.9,Stambul Garden,2021,movie
Germany,Europe,"['Documentary', 'Musical']",8.5,Roses. Film-Cabaret,2021,movie
Germany,Europe,"['Comedy', 'Drama']",8,Dr. Ballouz,2021,tvSeries
Germany,Europe,['Drama'],6,Me and the Others,2021,tvMiniSeries
Germany,Europe,"['Crime', 'Drama']",6,Du sollst nicht lügen,2021,tvMiniSeries
Germany,Europe,"['Crime', 'Drama', 'Mystery']",5.8,Hartwig Seeler - Ein neues Leben,2021,tvMovie
Germany,Europe,"['Comedy', 'Drama', 'Family']",5.7,Das Kindermädchen - Mission Kanada,2021,tvMovie
Germany,Europe,['Drama'],5.4,Meeresleuchten,2021,tvMovie
Germany,Europe,"['Crime', 'Drama', 'Mystery']",7.1,Unbroken,2021,tvSeries
Germany,Europe,"['Adventure', 'Drama']",5.8,Wild Republic,2021,tvSeries
Germany,Europe,['Horror'],6.4,Death Camp,2021,movie
Germany,Europe,['Drama'],6.1,Soul of a Beast,2021,movie
Germany,Europe,['Documentary'],8.4,Neues in Wittstock,2021,movie
Germany,Europe,"['Adventure', 'Drama']",8.7,The Kennedy Incident,2021,movie
Germany,Europe,"['Comedy', 'Romance']",6.2,Commitment Phobia,2021,movie
Germany,Europe,"['Adventure', 'Animation', 'Family']",5.3,The Ogglies,2021,movie
Germany,Europe,"['Drama', 'Romance']",6.3,Bliss,2021,movie
Germany,Europe,"['Comedy', 'Drama']",7.6,The Marriage Escape,2020,movie
Germany,Europe,['War'],4.5,Enemy Lines,2020,movie
Germany,Europe,"['Adventure', 'Comedy', 'Family']",6.4,Jim Button and the Wild 13,2020,movie
Germany,Europe,"['Comedy', 'Drama']",5.8,Rising High,2020,movie
Germany,Europe,"['Comedy', 'Romance']",6.4,Isi & Ossi,2020,movie
Germany,Europe,"['Drama', 'War']",7.4,Persian Lessons,2020,movie
Germany,Europe,['Drama'],7.2,Needle Park Baby,2020,movie
Germany,Europe,['Documentary'],7.2,The American Sector,2020,movie
Germany,Europe,"['Adventure', 'Comedy', 'Horror']",7,LOL & The Rise of Evil,2020,movie
Germany,Europe,"['Comedy', 'Drama']",5.8,Ex,2020,movie
Germany,Europe,"['Drama', 'Mystery', 'Sci-Fi']",5.6,The Trouble with Being Born,2020,movie
Germany,Europe,"['Adventure', 'Comedy', 'Family']",4.8,The Magic Kids: Three Unlikely Heroes,2020,movie
Germany,Europe,['Documentary'],7.2,"Cryptopia: Bitcoin, Blockchains and the Future of the Internet",2020,movie
Germany,Europe,"['Biography', 'Music']",6.4,Lindenberg! Mach dein Ding,2020,movie
Germany,Europe,['Drama'],6.2,Narcissus and Goldmund,2020,movie
Germany,Europe,"['Drama', 'Thriller']",6.1,Open Season,2020,movie
Germany,Europe,['Drama'],6.5,Exile,2020,movie
Germany,Europe,"['Drama', 'Romance']",6.7,No Hard Feelings,2020,movie
Germany,Europe,"['Adventure', 'Comedy', 'Family']",4.9,Sprite Sisters - Vier zauberhafte Schwestern,2020,movie
Germany,Europe,"['Comedy', 'Drama', 'Romance']",6,La Palma,2020,movie
Germany,Europe,"['Drama', 'Music', 'Sci-Fi']",6.5,Live,2020,movie
Germany,Europe,"['Crime', 'Drama', 'Romance']",6.7,Kids Run,2020,movie
Germany,Europe,['Comedy'],5.5,Abbi Fede,2020,movie
Germany,Europe,['Comedy'],5.3,Die Känguru-Chroniken,2020,movie
France,Europe,"['Adventure', 'Comedy', 'Fantasy']",7,Kaamelott: First Installment,2021,movie
France,Europe,"['Comedy', 'Drama', 'Romance']",7.2,The French Dispatch,2021,movie
France,Europe,['Animation'],8.1,La traversée,2021,movie
France,Europe,"['Biography', 'Drama', 'History']",6.6,Benedetta,2021,movie
France,Europe,['Drama'],6.3,No Trace,2021,movie
France,Europe,['Drama'],6,Albatros,2021,movie
France,Europe,"['Crime', 'Drama', 'Mystery']",7.5,Secret Voices,2021,movie
France,Europe,['Drama'],6.6,Azor,2021,movie
France,Europe,['Documentary'],9.4,The Everwarm Bed,2021,movie
France,Europe,['Drama'],5.2,Peaceful,2021,movie
France,Europe,['Drama'],5.5,Playground,2021,movie
France,Europe,"['Biography', 'Crime', 'Drama']",6.6,"Bruno Reidal, Confession of a Murderer",2021,movie
France,Europe,['Comedy'],3.3,Operation Portugal,2021,movie
France,Europe,"['Drama', 'Sci-Fi', 'Thriller']",6.6,Titane,2021,movie
France,Europe,"['Adventure', 'Family']",7.6,SpaceBoy,2021,movie
France,Europe,['Documentary'],7.8,Alida,2021,movie
France,Europe,"['Comedy', 'Crime', 'Mystery']",5.2,Do You Do You Saint-Tropez,2021,movie
France,Europe,"['Documentary', 'Music']",8.1,Laurent Garnier: Off the Record,2021,movie
France,Europe,"['Biography', 'Crime', 'Drama']",5.4,Madame Claude,2021,movie
France,Europe,['Drama'],4.7,Between Two Worlds,2021,movie
France,Europe,"['Documentary', 'Musical']",8.5,Roses. Film-Cabaret,2021,movie
France,Europe,"['Action', 'Crime', 'Drama']",4.7,Sentinelle,2021,movie
France,Europe,"['Crime', 'Horror', 'Mystery']",8.5,Patrick Senécal présente,2021,tvSeries
France,Europe,"['Comedy', 'Sci-Fi']",7.8,OVNI(s),2021,tvSeries
France,Europe,"['Biography', 'Drama', 'Romance']",5.9,Borderline,2021,movie
France,Europe,['Horror'],6.4,Death Camp,2021,movie
France,Europe,['Comedy'],6.5,Playlist,2021,movie
France,Europe,['Drama'],6.3,Love Song for Tough Guys,2021,movie
France,Europe,"['Comedy', 'Drama', 'Romance']",5.8,Modern Love,2021,movie
France,Europe,['Drama'],5.4,Suzanna Andler,2021,movie
France,Europe,"['Horror', 'Thriller']",7.5,The Advent Calendar,2021,movie
France,Europe,['Drama'],8.2,En thérapie,2021,tvSeries
France,Europe,"['Comedy', 'Horror']",5.6,Brain Freeze,2021,movie
France,Europe,"['Action', 'Comedy']",6.1,OSS 117: From Africa with Love,2021,movie
France,Europe,['Comedy'],5.3,Un tour chez ma fille,2021,movie
France,Europe,"['Comedy', 'Drama']",8,Mixte,2021,tvSeries
France,Europe,['Comedy'],5.4,Le lion,2020,movie
France,Europe,"['Comedy', 'Drama']",6.7,Felicità,2020,movie
France,Europe,"['Crime', 'Drama']",5.3,Night Shift,2020,movie
France,Europe,"['Drama', 'Thriller']",5.4,Lovers,2020,movie
France,Europe,"['Adventure', 'Drama', 'War']",6.5,Da 5 Bloods,2020,movie
France,Europe,"['Drama', 'War']",7.4,Persian Lessons,2020,movie
France,Europe,"['Adventure', 'Animation', 'Family']",7.5,"Calamity, a Childhood of Martha Jane Cannary",2020,movie
France,Europe,"['Comedy', 'Drama', 'Romance']",6.9,The Half of It,2020,movie
France,Europe,['Drama'],6.7,Small Country: An African Childhood,2020,movie
France,Europe,['\\N'],7.2,Music Hole,2020,movie
France,Europe,['Drama'],6.7,Adu,2020,movie
France,Europe,['Comedy'],5,Mine de rien,2020,movie
France,Europe,"['Crime', 'Horror', 'Thriller']",4.6,Deep Web,2020,movie
France,Europe,['Comedy'],5,Ballsy Girl,2020,movie
Croatia,Europe,['Drama'],7.3,A blue flower,2021,movie
Croatia,Europe,['Drama'],6.9,After the Winter,2021,movie
Croatia,Europe,"['Comedy', 'Drama', 'Musical']",8.3,Dnevnik velikog Perice,2021,tvMiniSeries
Croatia,Europe,"['Action', 'Comedy', 'Music']",6.9,Tune Up,2021,movie
Croatia,Europe,['Drama'],5.7,Mare,2020,movie
Croatia,Europe,"['Biography', 'Documentary', 'Drama']",6.8,Nun of Your Business,2020,movie
Croatia,Europe,['Drama'],5.6,Breasts,2020,movie
Croatia,Europe,"['Drama', 'War']",8.9,Dara of Jasenovac,2020,movie
Croatia,Europe,"['Biography', 'Drama', 'Romance']",8.3,Fishing and Fishermen's Conversations,2020,movie
Croatia,Europe,['Animation'],7.1,Accidental Luxuriance of the Translucent Watery Rebus,2020,movie
Croatia,Europe,"['Documentary', 'Sport']",8.6,Junaci nasega doba,2020,tvMiniSeries
Croatia,Europe,"['Action', 'Drama', 'War']",7,Nestali,2020,tvMiniSeries
Croatia,Europe,"['Documentary', 'Drama']",8.8,Life,2020,tvMovie
Croatia,Europe,"['Comedy', 'News']",8.6,Pervanov dnevnik,2020,tvSeries
Croatia,Europe,['Comedy'],6.8,Blago nama,2020,tvSeries
Croatia,Europe,"['Drama', 'Romance']",8.3,Make It with You,2020,tvSeries
Croatia,Europe,['Documentary'],7.3,Push - pull,2020,movie
Croatia,Europe,['Documentary'],7.7,Once Upon a Youth,2020,movie
Croatia,Europe,"['Drama', 'History', 'War']",7.9,"Quo Vadis, Aida?",2020,movie
Croatia,Europe,['Drama'],7.1,Tereza37,2020,movie
Croatia,Europe,['Documentary'],8.7,The Forgotten Ones,2019,movie
Croatia,Europe,['Drama'],5.5,Heroes Don't Die,2019,movie
Croatia,Europe,"['Documentary', 'Drama']",8,Honeyland,2019,movie
Croatia,Europe,"['Adventure', 'Comedy', 'Horror']",6,The Last Serb in Croatia,2019,movie
Croatia,Europe,['Drama'],7.5,Posljednji dani ljeta,2019,movie
Croatia,Europe,"['Comedy', 'Drama', 'Fantasy']",6.5,Last Christmas,2019,movie
Croatia,Europe,['Drama'],5.2,The Voice,2019,movie
Croatia,Europe,"['Biography', 'Drama', 'History']",7.5,The Diary of Diana B,2019,movie
Croatia,Europe,"['Adventure', 'Family', 'Fantasy']",6.2,My Grandpa Is an Alien,2019,movie
Croatia,Europe,"['Biography', 'Drama', 'History']",3,General,2019,movie
Croatia,Europe,"['Adventure', 'Comedy']",6.4,Ides? Idem!,2019,movie
Croatia,Europe,"['Biography', 'Documentary', 'Sport']",7.4,Ivan's Game,2019,movie
Croatia,Europe,"['Biography', 'Documentary', 'Music']",8.5,Bure bareta,2019,movie
Croatia,Europe,['Documentary'],6.2,If Only Dreams Came True,2019,movie
Croatia,Europe,['Documentary'],6.8,3069,2019,movie
Croatia,Europe,"['Comedy', 'Drama']",8.1,Balkansko trojstvo,2019,movie
Croatia,Europe,['Drama'],6.9,Matriarch,2019,movie
Croatia,Europe,['Documentary'],8.1,Tusta,2019,movie
Croatia,Europe,"['Comedy', 'Crime', 'Thriller']",6.2,Extracurricular,2019,movie
Croatia,Europe,['Comedy'],6,Keep Calm and Snap,2019,movie
Croatia,Europe,['Comedy'],7.6,Zagreb Equinox,2019,movie
Croatia,Europe,['Crime'],9.6,Cuvari zakona,2019,tvMiniSeries
Croatia,Europe,['Drama'],5,Ljeto 2019,2019,tvMiniSeries
Croatia,Europe,"['Comedy', 'Short']",8.5,Svi cemo se jednog dana kopat' u Evropu,2019,tvMiniSeries
Croatia,Europe,['Comedy'],7.2,"Dobro jutro, komsija",2019,tvSeries
Croatia,Europe,"['Crime', 'Drama']",7.9,Uspjeh,2019,tvSeries
Croatia,Europe,"['Short', 'Talk-Show']",4.8,24 Sata: 24 pitanja,2019,tvSeries
Croatia,Europe,"['Biography', 'Drama', 'History']",1.9,General,2019,tvSeries
Croatia,Europe,['Documentary'],8.5,Opstanak,2019,tvSeries
Croatia,Europe,['Reality-TV'],2.8,Zvijezde pod hipnozom,2019,tvSeries
Thailand,Asia,['Documentary'],9.3,Duck Academy,2020,movie
Thailand,Asia,"['Action', 'Documentary', 'History']",7.8,Torn Cloth,2020,movie
Thailand,Asia,['Music'],5.3,Thibaan × BNK48,2020,movie
Thailand,Asia,"['Drama', 'Sci-Fi']",5.6,Mekong 2030,2020,movie
Thailand,Asia,['Horror'],5.1,Pee Nak 2,2020,movie
Thailand,Asia,"['Comedy', 'Horror', 'Romance']",6.4,Low Season,2020,movie
Thailand,Asia,"['Comedy', 'Drama', 'Romance']",6.8,Present Still Perfect,2020,movie
Thailand,Asia,"['Drama', 'Romance']",6.9,Classic Again,2020,movie
Thailand,Asia,"['Documentary', 'Music']",5.7,One Take,2020,movie
Thailand,Asia,"['Crime', 'Drama', 'Thriller']",7.8,Bad Genius,2020,tvMiniSeries
Thailand,Asia,"['Drama', 'Fantasy', 'Romance']",7.6,Why R U?,2020,tvSeries
Thailand,Asia,"['Comedy', 'Drama', 'Romance']",7.9,2gether,2020,tvSeries
Thailand,Asia,"['Drama', 'Fantasy', 'Romance']",7.9,Turn Left Turn Right,2020,tvSeries
Thailand,Asia,"['Comedy', 'Romance']",7.2,My Bubble Tea,2020,tvSeries
Thailand,Asia,"['Drama', 'Mystery', 'Thriller']",7.4,Sleepless Society: Insomnia,2020,tvSeries
Thailand,Asia,"['Drama', 'Horror', 'Mystery']",5.7,The Maid,2020,movie
Thailand,Asia,['Comedy'],3.9,Pojaman Sawang Ka Ta,2020,movie
Thailand,Asia,"['Comedy', 'Drama', 'Fantasy']",8,The Shipper,2020,tvSeries
Thailand,Asia,"['Drama', 'Romance', 'Sport']",6.5,Hook,2020,tvSeries
Thailand,Asia,['Drama'],6.5,The Underclass,2020,tvSeries
Thailand,Asia,['Romance'],7.5,My Engineer,2020,tvSeries
Thailand,Asia,['Comedy'],7,YYY,2020,tvSeries
Thailand,Asia,['Romance'],6.5,Roommate,2020,tvSeries
Thailand,Asia,['Romance'],6.8,EN of Love,2020,tvSeries
Thailand,Asia,"['Drama', 'Romance']",7.9,Still 2gether,2020,tvSeries
Thailand,Asia,"['Drama', 'Fantasy', 'Mystery']",8.2,The Gifted: Graduation,2020,tvSeries
Thailand,Asia,['Documentary'],6.4,Lost Boys,2020,movie
Thailand,Asia,['Documentary'],8,100 Times Reproduction of Democracy,2019,movie
Thailand,Asia,"['Action', 'Drama', 'Fantasy']",5.1,Sisters,2019,movie
Thailand,Asia,"['Drama', 'Horror', 'Romance']",6.5,Sang Krasue,2019,movie
Thailand,Asia,['Horror'],5.1,Bangkok Dark Tales,2019,movie
Thailand,Asia,"['Comedy', 'Romance']",7.2,Friend Zone,2019,movie
Thailand,Asia,"['Comedy', 'Romance']",6.1,London Sweeties,2019,movie
Thailand,Asia,['Comedy'],6.3,Good as New,2019,movie
Thailand,Asia,"['Crime', 'Drama']",3.5,Erica 38,2019,movie
Thailand,Asia,"['Action', 'Adventure', 'Drama']",5.8,The Cave,2019,movie
Thailand,Asia,"['Comedy', 'Horror']",4.9,Pee Nak,2019,movie
Thailand,Asia,"['Action', 'Crime', 'Drama']",4.5,Paradise Beach,2019,movie
Thailand,Asia,"['Action', 'Thriller']",5.6,Triple Threat,2019,movie
Thailand,Asia,"['Comedy', 'Drama']",5.7,Changeland,2019,movie
Thailand,Asia,['Drama'],7.4,Baan Muay Thai,2019,movie
Thailand,Asia,"['Crime', 'Drama']",7.3,Buoyancy,2019,movie
Thailand,Asia,['Horror'],3.8,The Real Ghosts,2019,movie
Thailand,Asia,"['Action', 'Comedy']",6.5,Bodyguard-Na-Hak (The Protector),2019,movie
Thailand,Asia,['Action'],6.1,Peak Rescue,2019,movie
Thailand,Asia,['Romance'],6,Heartbeats,2019,movie
Thailand,Asia,"['Drama', 'Romance']",7.2,Happy Old Year,2019,movie
Thailand,Asia,['Comedy'],5.8,Tootsies & the Fake,2019,movie
Thailand,Asia,"['Drama', 'History', 'Sci-Fi']",5.2,Santikhiri Sonata,2019,movie
Thailand,Asia,"['Crime', 'Drama', 'Thriller']",6.8,Sheep Without a Shepherd,2019,movie
Indonesia,Asia,"['Comedy', 'Drama']",6.9,Posledniy ministr,2020,tvSeries
Indonesia,Asia,['Mystery'],7.7,Pretty Little Liars,2020,tvSeries
Indonesia,Asia,"['Comedy', 'Drama']",8.7,Saiyo Sakato,2020,tvMiniSeries
Indonesia,Asia,['Drama'],8.6,"Sementara, Selamanya",2020,tvMiniSeries
Indonesia,Asia,['Horror'],6.4,Sembil9n,2019,tvMiniSeries
Indonesia,Asia,"['Drama', 'Fantasy', 'Romance']",8.9,Rewrite,2019,tvMiniSeries
Indonesia,Asia,"['Adventure', 'Animation', 'Comedy']",7.8,Lorong Waktu: Animasi,2019,tvMiniSeries
Indonesia,Asia,"['Crime', 'Drama', 'Mystery']",8.4,Tunnel,2019,tvMiniSeries
Indonesia,Asia,"['Drama', 'Romance']",8,Assalamualaikum Calon Imam,2019,tvMiniSeries
Indonesia,Asia,['Horror'],8,Kisah Tanah Jawa: Merapi,2019,tvMiniSeries
Indonesia,Asia,['Horror'],5.8,Folklore,2018,tvMiniSeries
